##
#spannung/V counts  Stromstaerke/microA
320 13914 0.2
330 14186 0.3
340 14550 0.3
350 14414 0.4
360 14448 0.4
370 14703 0.5
380 14753 0.5
390 14587 0.6
400 14662 0.6
410 14819 0.7
420 14822 0.7
430 14820 0.8
440 15033 0.9
450 14903 0.95
460 15125 1.0
470 15013 1.0
480 15076 1.1
490 14963 1.1
500 14790 1.2
510 15127 1.2
520 15237 1.3
530 15098 1.4
540 15076 1.4
550 15163 1.45
560 14876 1.5
570 15207 1.6
580 15064 1.6
590 15124 1.7
600 15097 1.7
610 15080 1.8
620 15113 1.8
630 15356 1.9
640 15473 2.0
650 15406 2.0
660 15472 2.1
670 15856 2.1
680 16136 2.2
690 16534 2.3
700 17078 2.4
